date,Open,High,Low,Close,Volume
2025-04-16,396.85,400.0,392.55,399.35,172117.0
2025-04-15,398.95,398.95,393.6,395.15,204175.0
2025-04-11,389.0,392.55,382.2,392.0,513559.0
2025-04-09,382.9,382.9,373.4,374.7,363976.0
2025-04-08,384.6,385.5,376.85,382.95,275533.0
2025-04-07,350.15,379.1,350.15,377.5,686199.0
2025-04-04,394.05,396.0,382.6,385.25,339691.0
2025-04-03,395.3,400.0,394.45,397.1,143747.0
2025-04-02,401.95,401.95,391.5,397.25,224978.0
2025-04-01,397.15,402.65,395.05,398.1,363728.0
2025-03-28,396.75,401.9,393.45,398.45,123576.0
2025-03-27,393.0,399.65,392.05,396.75,152705.0
2025-03-26,398.0,402.55,393.5,394.5,323862.0
2025-03-25,407.85,408.5,397.35,398.4,245556.0
2025-03-24,408.0,411.9,405.05,405.85,395716.0
2025-03-21,396.65,410.9,395.0,406.05,689783.0
2025-03-20,398.6,398.6,392.1,396.65,137157.0
2025-03-19,391.9,397.9,388.8,395.75,266677.0
2025-03-18,387.5,393.0,386.3,389.1,408488.0
2025-03-17,381.75,387.0,379.0,385.8,381258.0
2025-03-13,381.95,382.95,377.5,378.3,114770.0
2025-03-12,379.95,383.0,373.8,380.5,234784.0
2025-03-11,370.6,379.9,368.05,379.05,158676.0
2025-03-10,381.0,386.65,374.15,374.85,150978.0
2025-03-07,382.9,389.55,379.4,380.55,292568.0
2025-03-06,370.0,384.15,368.25,382.3,314570.0
2025-03-05,362.0,368.8,362.0,368.15,287325.0
2025-03-04,356.0,366.45,352.5,364.1,291411.0
2025-03-03,371.8,371.8,352.3,360.35,492303.0
2025-02-28,368.45,375.75,365.3,369.1,1147064.0
2025-02-27,359.95,367.8,356.25,363.85,361518.0
2025-02-25,364.55,365.65,358.7,361.2,204984.0
2025-02-24,368.7,368.7,361.15,364.85,101918.0
2025-02-21,367.9,371.2,365.9,369.9,85156.0
2025-02-20,361.35,369.35,360.3,367.9,97790.0
2025-02-19,360.95,365.4,358.05,362.25,107456.0
2025-02-18,361.2,362.45,353.85,361.0,274262.0
2025-02-17,354.05,360.95,349.2,360.1,162831.0
2025-02-14,365.8,365.8,350.55,354.05,340477.0
2025-02-13,360.45,367.5,358.55,361.7,204770.0
2025-02-12,359.2,361.6,351.55,360.35,331315.0
2025-02-11,370.95,370.95,357.6,359.15,215435.0
2025-02-10,376.95,379.45,369.05,370.45,207821.0
2025-02-07,379.65,382.95,376.3,378.25,198589.0
2025-02-06,382.85,384.45,377.35,379.65,91109.0
2025-02-05,378.9,385.0,377.95,382.8,258075.0
2025-02-04,375.5,380.75,375.0,376.55,233410.0
2025-02-03,384.4,384.4,366.55,374.1,460537.0
2025-01-31,380.6,397.0,374.85,395.8,581591.0
2025-01-30,382.0,387.45,380.6,385.35,365765.0
2025-01-29,373.3,381.0,371.05,379.45,274313.0
2025-01-28,377.95,377.95,367.55,370.95,345661.0
2025-01-27,380.5,382.95,372.8,375.4,407561.0
2025-01-24,386.8,392.2,381.9,383.2,264386.0
2025-01-23,379.4,388.3,376.2,385.85,275752.0
2025-01-22,381.8,383.1,374.85,379.4,147642.0
2025-01-21,388.7,389.8,381.0,381.5,244824.0
2025-01-20,389.95,391.0,382.8,387.05,371082.0
2025-01-17,380.55,389.35,378.65,387.85,441899.0
2025-01-16,379.4,381.5,374.9,379.2,175952.0
2025-01-15,374.85,381.45,371.95,374.5,392522.0
2025-01-14,363.45,370.35,363.0,369.35,148408.0
2025-01-13,366.55,370.4,361.3,362.85,566786.0
2025-01-10,371.85,373.2,364.75,368.6,435069.0
2025-01-09,381.0,381.1,370.9,372.3,348919.0
2025-01-08,380.0,382.0,376.0,380.55,300960.0
2025-01-07,380.3,384.2,376.6,379.95,851900.0
2025-01-06,394.4,394.4,377.3,378.75,568399.0
2025-01-03,393.45,399.2,389.5,393.9,435101.0
2025-01-02,389.95,393.5,384.2,392.95,319024.0
2025-01-01,383.95,388.3,382.75,386.5,109439.0
2024-12-31,378.0,384.9,376.3,383.9,355572.0
2024-12-30,380.95,382.4,375.85,378.3,477705.0
2024-12-27,388.75,388.75,379.55,380.65,433626.0
2024-12-26,387.35,390.4,385.35,386.75,261074.0
2024-12-24,385.7,386.8,381.6,384.65,193618.0
2024-12-23,386.65,388.65,382.55,383.0,362762.0
2024-12-20,393.7,393.8,380.8,382.75,459178.0
2024-12-19,390.1,394.5,387.05,392.3,378677.0
2024-12-18,404.65,404.65,394.55,395.9,256201.0
2024-12-17,410.75,410.75,402.05,402.8,420353.0
2024-12-16,410.95,412.8,406.5,410.5,250452.0
2024-12-13,409.95,411.55,402.0,410.65,209300.0
2024-12-12,416.95,416.95,406.85,408.95,275478.0
2024-12-11,416.55,419.55,415.8,416.85,276597.0
2024-12-10,415.5,417.25,411.5,414.6,162337.0
2024-12-09,418.0,421.0,412.65,413.85,339802.0
2024-12-06,421.65,421.65,416.45,417.25,124128.0
2024-12-05,418.0,421.2,412.15,418.3,411438.0
2024-12-04,422.9,425.95,415.0,416.65,157756.0
2024-12-03,425.65,425.65,419.5,422.05,209254.0
2024-12-02,419.75,423.5,416.7,421.65,364193.0
2024-11-29,415.95,417.95,411.15,416.55,313223.0
